SKU,Assigned_Slot,rack,bay,level,priority_score,total_demand,volatility,order_frequency,distance_to_dispatch,x_coord,y_coord
M16280267,R15-B15-L01,15,15,1,0.17584047105195882,20,2.0,4,14.5,35.0,18.0
M2N3G9022,R09-B24-L05,9,24,5,0.1754215387695947,248,7.605614909477109,35,20.5,20.0,27.0
M16280183,R14-B17-L07,14,17,7,0.1751171562160441,48,2.9760952365713798,8,13.5,34.0,20.0
M16280382,R16-B14-L06,16,14,6,0.17449219219279216,13,1.140175425099138,5,14.5,39.0,17.0
M2N3SG064,R20-B21-L04,20,21,4,0.1742528683062335,192,6.846135056905561,24,17.5,49.0,24.0
M2N3SG039,R16-B16-L03,16,16,3,0.17392237690699477,160,6.053727698502721,21,12.5,39.0,19.0
M2N3SG129,R19-B19-L05,19,19,5,0.1732114322024295,184,6.789028582272216,23,15.5,45.0,22.0
M2N3SG141,R10-B22-L02,10,22,2,0.17316423031834433,100,6.112373606964083,9,18.5,24.0,25.0
M16280358,R10-B24-L06,10,24,6,0.17311665041268146,60,3.39934634239519,10,16.5,24.0,27.0
M16280003,R13-B19-L05,13,19,5,0.1730621088265298,180,11.224972160321824,9,15.5,30.0,22.0
M16280238,R16-B16-L01,16,16,1,0.17280211020408093,36,3.3466401061363023,5,12.5,39.0,19.0
M2N3R0414,R18-B18-L06,18,18,6,0.17278913192342885,280,9.314804957584967,31,15.5,44.0,21.0
M2N3G1110,R16-B16-L04,16,16,4,0.17222464980714705,48,6.928203230275509,3,12.5,39.0,19.0
M16280190,R14-B16-L01,14,16,1,0.17201492925977643,24,3.4641016151377544,3,14.5,34.0,19.0
M16280329,R09-B24-L04,9,24,4,0.17201492925977643,24,3.4641016151377544,3,20.5,20.0,27.0
M16280330,R16-B16-L07,16,16,7,0.17201492925977643,24,3.4641016151377544,3,12.5,39.0,19.0
M16280196,R13-B20-L04,13,20,4,0.17195887559864545,24,2.2803508501982757,5,14.5,30.0,23.0
M16280418,R10-B24-L07,10,24,7,0.17194502241065288,16,2.309401076758503,3,16.5,24.0,27.0
M16280370,R13-B19-L04,13,19,4,0.17194502241065288,16,2.309401076758503,3,15.5,30.0,22.0
M16280374,R19-B19-L07,19,19,7,0.17194502241065288,16,2.3094010767585034,3,15.5,45.0,22.0
M16280530,R11-B23-L07,11,23,7,0.1715765723019709,120,14.142135623730951,4,16.5,25.0,26.0
